,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Home,D,1,1,Hellas Verona,0.8,1.9,52.0,17725.0,Roberto Soriano,3-4-1-2,Matteo Marcenaro,Match Report,,17.0,5.0,23.1,1.0,0,0,2022,Bologna
3,2022-08-27,20:45,Serie A,Matchweek 3,Sat,Away,L,0,2,Milan,0.5,1.9,52.0,70430.0,Gary Medel,3-5-2,Gianluca Manganiello,Match Report,,8.0,0.0,24.5,1.0,0,0,2022,Bologna
4,2022-09-01,20:45,Serie A,Matchweek 4,Thu,Home,D,1,1,Salernitana,1.8,1.4,47.0,19787.0,Gary Medel,3-5-2,Davide Ghersini,Match Report,,10.0,3.0,19.1,0.0,1,1,2022,Bologna
5,2022-09-04,15:00,Serie A,Matchweek 5,Sun,Away,D,2,2,Spezia,0.9,0.9,55.0,7555.0,Lorenzo De Silvestri,3-4-1-2,Antonio Giua,Match Report,,13.0,6.0,23.0,0.0,0,0,2022,Bologna
6,2022-09-11,15:00,Serie A,Matchweek 6,Sun,Home,W,2,1,Fiorentina,0.6,1.3,39.0,18901.0,Roberto Soriano,3-5-2,Daniele Orsato,Match Report,,12.0,4.0,18.5,0.0,0,0,2022,Bologna
7,2022-09-17,15:00,Serie A,Matchweek 7,Sat,Home,L,0,1,Empoli,1.6,1.6,61.0,15670.0,Roberto Soriano,4-2-3-1,Manuel Volpi,Match Report,,16.0,3.0,18.6,1.0,0,0,2022,Bologna
8,2022-10-02,20:45,Serie A,Matchweek 8,Sun,Away,L,0,3,Juventus,0.4,1.8,52.0,34662.0,Roberto Soriano,4-2-3-1,Rosario Abisso,Match Report,,9.0,1.0,19.6,0.0,0,0,2022,Bologna
9,2022-10-08,20:45,Serie A,Matchweek 9,Sat,Home,D,1,1,Sampdoria,0.8,0.6,51.0,20871.0,Gary Medel,4-2-3-1,Marco Piccinini,Match Report,,10.0,3.0,19.8,1.0,0,0,2022,Bologna
10,2022-10-16,18:00,Serie A,Matchweek 10,Sun,Away,L,2,3,Napoli,1.3,2.6,51.0,50000.0,Gary Medel,4-3-3,Francesco Cosso,Match Report,,16.0,3.0,17.5,0.0,0,0,2022,Bologna
12,2022-10-23,15:00,Serie A,Matchweek 11,Sun,Home,W,2,0,Lecce,1.8,0.4,54.0,24206.0,Gary Medel,4-2-3-1,Simone Sozza,Match Report,,8.0,4.0,13.3,0.0,1,1,2022,Bologna
13,2022-10-31,20:45,Serie A,Matchweek 12,Mon,Away,W,2,1,Monza,1.3,1.2,44.0,11388.0,Gary Medel,3-4-3,Luca Pairetto,Match Report,,10.0,5.0,17.5,0.0,0,0,2022,Bologna
14,2022-11-06,12:30,Serie A,Matchweek 13,Sun,Home,W,2,1,Torino,2.0,1.0,56.0,23168.0,Gary Medel,3-4-3,Antonio Giua,Match Report,,9.0,5.0,14.2,0.0,0,0,2022,Bologna
15,2022-11-09,20:45,Serie A,Matchweek 14,Wed,Away,L,1,6,Inter,0.7,2.6,43.0,69312.0,Gary Medel,4-2-3-1,Andrea Colombo,Match Report,,10.0,4.0,19.6,1.0,0,0,2022,Bologna
16,2022-11-12,20:45,Serie A,Matchweek 15,Sat,Home,W,3,0,Sassuolo,0.8,0.8,51.0,20811.0,Roberto Soriano,4-2-3-1,Ivan Pezzuto,Match Report,,8.0,4.0,19.6,0.0,0,0,2022,Bologna
17,2023-01-04,16:30,Serie A,Matchweek 16,Wed,Away,L,0,1,Roma,0.7,1.5,61.0,62092.0,Roberto Soriano,4-2-3-1,Alberto Santoro,Match Report,,11.0,1.0,16.7,0.0,0,0,2022,Bologna
18,2023-01-09,20:45,Serie A,Matchweek 17,Mon,Home,L,1,2,Atalanta,0.5,0.5,51.0,16953.0,Roberto Soriano,4-2-3-1,Marco Di Bello,Match Report,,12.0,3.0,21.1,0.0,0,0,2022,Bologna
19,2023-01-15,15:00,Serie A,Matchweek 18,Sun,Away,W,2,1,Udinese,2.0,1.9,49.0,20486.0,Adama Soumaoro,4-3-3,Manuel Volpi,Match Report,,15.0,2.0,17.3,0.0,0,0,2022,Bologna
21,2023-01-23,18:30,Serie A,Matchweek 19,Mon,Home,D,1,1,Cremonese,1.1,1.7,68.0,15587.0,Roberto Soriano,4-3-3,Matteo Marchetti,Match Report,,21.0,8.0,22.5,2.0,0,0,2022,Bologna
22,2023-01-27,18:30,Serie A,Matchweek 20,Fri,Home,W,2,0,Spezia,1.6,0.5,57.0,17213.0,Roberto Soriano,4-2-3-1,Luca Massimi,Match Report,,18.0,6.0,16.0,0.0,0,0,2022,Bologna
23,2023-02-05,18:00,Serie A,Matchweek 21,Sun,Away,W,2,1,Fiorentina,1.8,1.3,38.0,30546.0,Roberto Soriano,4-2-3-1,Luca Pairetto,Match Report,,10.0,5.0,18.7,0.0,1,1,2022,Bologna
24,2023-02-12,15:00,Serie A,Matchweek 22,Sun,Home,L,0,1,Monza,0.9,0.6,63.0,21692.0,Riccardo Orsolini,4-2-3-1,Luca Zufferli,Match Report,,13.0,4.0,15.1,0.0,0,0,2022,Bologna
25,2023-02-18,15:00,Serie A,Matchweek 23,Sat,Away,W,2,1,Sampdoria,0.9,2.3,59.0,18269.0,Roberto Soriano,4-2-3-1,Massimiliano Irrati,Match Report,,12.0,5.0,18.6,0.0,0,0,2022,Bologna
26,2023-02-26,12:30,Serie A,Matchweek 24,Sun,Home,W,1,0,Inter,1.2,1.0,48.0,28317.0,Roberto Soriano,4-2-3-1,Daniele Orsato,Match Report,,13.0,5.0,19.9,1.0,0,0,2022,Bologna
27,2023-03-06,20:45,Serie A,Matchweek 25,Mon,Away,L,0,1,Torino,0.5,0.9,56.0,18592.0,Roberto Soriano,4-2-3-1,Antonio Rapuano,Match Report,,11.0,1.0,21.8,2.0,0,0,2022,Bologna
28,2023-03-11,20:45,Serie A,Matchweek 26,Sat,Home,D,0,0,Lazio,0.9,0.8,54.0,27369.0,Jhon Lucumí,4-2-3-1,Fabio Maresca,Match Report,,16.0,2.0,19.0,0.0,0,0,2022,Bologna
29,2023-03-18,18:00,Serie A,Matchweek 27,Sat,Away,D,2,2,Salernitana,0.4,0.9,58.0,18600.0,Jhon Lucumí,4-2-3-1,Luca Pairetto,Match Report,,10.0,2.0,18.5,0.0,0,0,2022,Bologna
30,2023-04-02,12:30,Serie A,Matchweek 28,Sun,Home,W,3,0,Udinese,0.7,0.8,52.0,25562.0,Jhon Lucumí,4-3-3,Maria Sole Ferrieri Caputi,Match Report,,11.0,4.0,23.3,1.0,0,0,2022,Bologna
31,2023-04-08,16:30,Serie A,Matchweek 29,Sat,Away,W,2,0,Atalanta,1.3,1.3,51.0,18950.0,Roberto Soriano,4-1-4-1,Daniele Orsato,Match Report,,13.0,6.0,20.7,1.0,0,0,2022,Bologna
32,2023-04-15,15:00,Serie A,Matchweek 30,Sat,Home,D,1,1,Milan,0.6,1.4,51.0,29024.0,Nicolás Domínguez,4-3-3,Davide Massa,Match Report,,6.0,2.0,21.7,2.0,0,0,2022,Bologna
33,2023-04-21,20:45,Serie A,Matchweek 31,Fri,Away,L,1,2,Hellas Verona,1.3,1.4,73.0,21031.0,Nicolás Domínguez,4-3-3,Maurizio Mariani,Match Report,,17.0,7.0,21.9,1.0,0,0,2022,Bologna
34,2023-04-30,20:45,Serie A,Matchweek 32,Sun,Home,D,1,1,Juventus,1.9,2.7,54.0,30071.0,Nicolás Domínguez,4-3-3,Simone Sozza,Match Report,,15.0,5.0,20.8,1.0,1,1,2022,Bologna
35,2023-05-04,20:45,Serie A,Matchweek 33,Thu,Away,L,1,3,Empoli,2.0,1.0,72.0,8349.0,Nicolás Domínguez,4-3-3,Federico La Penna,Match Report,,17.0,2.0,18.0,1.0,1,1,2022,Bologna
36,2023-05-08,20:45,Serie A,Matchweek 34,Mon,Away,D,1,1,Sassuolo,0.5,0.3,52.0,13664.0,Nicolás Domínguez,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,,12.0,3.0,24.2,0.0,0,0,2022,Bologna
37,2023-05-14,18:00,Serie A,Matchweek 35,Sun,Home,D,0,0,Roma,0.4,1.2,71.0,23824.0,Nicolás Domínguez,4-2-3-1,Daniele Orsato,Match Report,,12.0,3.0,26.7,0.0,0,0,2022,Bologna
38,2023-05-20,15:00,Serie A,Matchweek 36,Sat,Away,W,5,1,Cremonese,2.6,1.3,63.0,11140.0,Nicolás Domínguez,4-2-3-1,Paolo Valeri,Match Report,,19.0,9.0,18.1,0.0,0,0,2022,Bologna
39,2023-05-28,15:00,Serie A,Matchweek 37,Sun,Home,D,2,2,Napoli,1.9,1.4,52.0,27209.0,Nicolás Domínguez,4-2-3-1,Matteo Marcenaro,Match Report,,18.0,6.0,16.4,0.0,0,0,2022,Bologna
40,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Away,W,3,2,Lecce,1.1,1.4,61.0,25816.0,Gary Medel,4-2-3-1,Marco Piccinini,Match Report,,11.0,7.0,20.1,0.0,0,0,2022,Bologna
1,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Away,W,2,1,Monza,2.1,1.4,46.0,10739.0,Ricardo Rodríguez,3-4-3,Maurizio Mariani,Match Report,,13.0,6.0,13.2,0.0,0,0,2022,Torino
2,2022-08-20,18:30,Serie A,Matchweek 2,Sat,Home,D,0,0,Lazio,0.7,0.8,54.0,16530.0,Ricardo Rodríguez,3-4-3,Marco Piccinini,Match Report,,10.0,1.0,17.6,0.0,0,0,2022,Torino
3,2022-08-27,18:30,Serie A,Matchweek 3,Sat,Away,W,2,1,Cremonese,1.7,0.8,47.0,11572.0,Ricardo Rodríguez,3-4-3,Paolo Valeri,Match Report,,14.0,5.0,15.2,0.0,0,0,2022,Torino
4,2022-09-01,20:45,Serie A,Matchweek 4,Thu,Away,L,1,3,Atalanta,0.4,2.9,59.0,17928.0,Ricardo Rodríguez,3-4-3,Marco Di Bello,Match Report,,8.0,2.0,18.3,0.0,0,0,2022,Torino
5,2022-09-05,20:45,Serie A,Matchweek 5,Mon,Home,W,1,0,Lecce,1.1,0.3,59.0,19087.0,Ricardo Rodríguez,3-4-1-2,Manuel Volpi,Match Report,,13.0,4.0,17.0,0.0,0,0,2022,Torino
6,2022-09-10,18:00,Serie A,Matchweek 6,Sat,Away,L,0,1,Inter,0.7,1.5,43.0,69134.0,Ricardo Rodríguez,3-4-3,Giovanni Ayroldi,Match Report,,9.0,7.0,18.5,1.0,0,0,2022,Torino
7,2022-09-17,20:45,Serie A,Matchweek 7,Sat,Home,L,0,1,Sassuolo,0.7,0.4,57.0,14822.0,Alessandro Buongiorno,3-4-1-2,Niccolò Baroni,Match Report,,12.0,3.0,19.0,1.0,0,0,2022,Torino
8,2022-10-01,15:00,Serie A,Matchweek 8,Sat,Away,L,1,3,Napoli,1.0,1.6,51.0,35953.0,Ricardo Rodríguez,3-4-3,Luca Massimi,Match Report,,16.0,3.0,16.2,0.0,0,0,2022,Torino
9,2022-10-09,12:30,Serie A,Matchweek 9,Sun,Home,D,1,1,Empoli,2.4,0.2,66.0,16793.0,Ricardo Rodríguez,3-4-3,Francesco Fourneau,Match Report,,20.0,7.0,13.0,0.0,0,0,2022,Torino
10,2022-10-15,18:00,Serie A,Matchweek 10,Sat,Home,L,0,1,Juventus,0.6,2.1,53.0,22269.0,Ricardo Rodríguez,3-4-3,Maurizio Mariani,Match Report,,15.0,2.0,23.9,0.0,0,0,2022,Torino
12,2022-10-23,12:30,Serie A,Matchweek 11,Sun,Away,W,2,1,Udinese,1.5,2.0,44.0,20711.0,Alessandro Buongiorno,3-4-3,Matteo Marchetti,Match Report,,13.0,6.0,15.9,0.0,0,0,2022,Torino
13,2022-10-30,20:45,Serie A,Matchweek 12,Sun,Home,W,2,1,Milan,0.6,1.1,44.0,26133.0,Alessandro Buongiorno,3-4-3,Rosario Abisso,Match Report,,7.0,4.0,14.0,0.0,0,0,2022,Torino
14,2022-11-06,12:30,Serie A,Matchweek 13,Sun,Away,L,1,2,Bologna,1.0,2.0,44.0,23168.0,Alessandro Buongiorno,3-4-3,Antonio Giua,Match Report,,6.0,1.0,22.9,0.0,1,1,2022,Torino
15,2022-11-09,20:45,Serie A,Matchweek 14,Wed,Home,W,2,0,Sampdoria,0.5,0.5,51.0,15593.0,Ricardo Rodríguez,3-4-3,Davide Massa,Match Report,,8.0,5.0,19.2,1.0,0,0,2022,Torino
16,2022-11-13,15:00,Serie A,Matchweek 15,Sun,Away,D,1,1,Roma,0.9,1.7,52.0,61168.0,Alessandro Buongiorno,3-4-3,Antonio Rapuano,Match Report,,10.0,2.0,17.8,0.0,0,0,2022,Torino
17,2023-01-04,14:30,Serie A,Matchweek 16,Wed,Home,D,1,1,Hellas Verona,0.4,0.9,67.0,15000.0,Ricardo Rodríguez,3-4-3,Federico Dionisi,Match Report,,9.0,3.0,19.0,0.0,0,0,2022,Torino
18,2023-01-08,12:30,Serie A,Matchweek 17,Sun,Away,D,1,1,Salernitana,2.2,0.8,62.0,16300.0,Alessandro Buongiorno,3-4-3,Andrea Colombo,Match Report,,23.0,8.0,15.0,0.0,0,0,2022,Torino
20,2023-01-15,15:00,Serie A,Matchweek 18,Sun,Home,L,0,1,Spezia,1.0,1.5,67.0,15113.0,Alessandro Buongiorno,3-4-3,Davide Ghersini,Match Report,,11.0,4.0,15.5,0.0,0,0,2022,Torino
21,2023-01-21,20:45,Serie A,Matchweek 19,Sat,Away,W,1,0,Fiorentina,0.6,1.2,38.0,29281.0,Ricardo Rodríguez,3-4-3,Federico Dionisi,Match Report,,9.0,3.0,18.4,0.0,0,0,2022,Torino
22,2023-01-28,15:00,Serie A,Matchweek 20,Sat,Away,D,2,2,Empoli,1.0,0.6,53.0,8029.0,Ricardo Rodríguez,3-4-1-2,Matteo Marcenaro,Match Report,,16.0,4.0,19.4,1.0,0,0,2022,Torino
24,2023-02-05,15:00,Serie A,Matchweek 21,Sun,Home,W,1,0,Udinese,1.7,0.5,56.0,16820.0,Alessandro Buongiorno,3-4-3,Alessandro Prontera,Match Report,,11.0,4.0,15.4,1.0,0,0,2022,Torino
25,2023-02-10,20:45,Serie A,Matchweek 22,Fri,Away,L,0,1,Milan,0.8,1.3,54.0,68268.0,Ricardo Rodríguez,3-4-3,Giovanni Ayroldi,Match Report,,12.0,2.0,18.6,0.0,0,0,2022,Torino
26,2023-02-20,20:45,Serie A,Matchweek 23,Mon,Home,D,2,2,Cremonese,2.4,0.6,63.0,19095.0,Ricardo Rodríguez,3-4-3,Giacomo Camplone,Match Report,,14.0,5.0,18.5,0.0,1,1,2022,Torino
27,2023-02-28,20:45,Serie A,Matchweek 24,Tue,Away,L,2,4,Juventus,1.2,1.5,58.0,37806.0,Ricardo Rodríguez,3-4-3,Daniele Chiffi,Match Report,,8.0,3.0,12.6,0.0,0,0,2022,Torino
28,2023-03-06,20:45,Serie A,Matchweek 25,Mon,Home,W,1,0,Bologna,0.9,0.5,44.0,18592.0,Ricardo Rodríguez,3-4-3,Antonio Rapuano,Match Report,,12.0,4.0,15.2,0.0,0,0,2022,Torino
29,2023-03-12,12:30,Serie A,Matchweek 26,Sun,Away,W,2,0,Lecce,0.1,0.5,45.0,24413.0,Ricardo Rodríguez,3-4-3,Juan Sacchi,Match Report,,4.0,2.0,12.7,0.0,0,0,2022,Torino
30,2023-03-19,15:00,Serie A,Matchweek 27,Sun,Home,L,0,4,Napoli,1.3,2.3,48.0,26058.0,Ricardo Rodríguez,3-4-3,Matteo Marchetti,Match Report,,12.0,2.0,14.4,0.0,0,0,2022,Torino
31,2023-04-03,20:45,Serie A,Matchweek 28,Mon,Away,D,1,1,Sassuolo,1.7,1.1,52.0,12896.0,Ricardo Rodríguez,3-4-3,Ivan Pezzuto,Match Report,,16.0,2.0,14.6,0.0,0,0,2022,Torino
32,2023-04-08,18:30,Serie A,Matchweek 29,Sat,Home,L,0,1,Roma,0.3,1.1,55.0,22142.0,Ricardo Rodríguez,3-4-3,Andrea Colombo,Match Report,,7.0,1.0,23.2,0.0,0,0,2022,Torino
33,2023-04-16,15:00,Serie A,Matchweek 30,Sun,Home,D,1,1,Salernitana,1.7,0.7,63.0,21122.0,Ricardo Rodríguez,3-4-3,Gianluca Aureliano,Match Report,,16.0,5.0,16.1,0.0,0,0,2022,Torino
34,2023-04-22,18:00,Serie A,Matchweek 31,Sat,Away,W,1,0,Lazio,0.6,0.6,47.0,50000.0,Ricardo Rodríguez,3-4-3,Davide Ghersini,Match Report,,7.0,3.0,16.4,0.0,0,0,2022,Torino
35,2023-04-29,20:45,Serie A,Matchweek 32,Sat,Home,L,1,2,Atalanta,0.3,0.5,62.0,20196.0,Ricardo Rodríguez,3-4-3,Juan Sacchi,Match Report,,4.0,4.0,20.3,0.0,0,0,2022,Torino
36,2023-05-03,18:00,Serie A,Matchweek 33,Wed,Away,W,2,0,Sampdoria,2.0,0.3,59.0,16865.0,Ricardo Rodríguez,3-4-3,Giacomo Camplone,Match Report,,12.0,4.0,14.1,1.0,0,0,2022,Torino
37,2023-05-07,15:00,Serie A,Matchweek 34,Sun,Home,D,1,1,Monza,0.9,0.9,53.0,19517.0,Ricardo Rodríguez,3-4-3,Luca Zufferli,Match Report,,14.0,5.0,15.6,0.0,0,0,2022,Torino
38,2023-05-14,12:30,Serie A,Matchweek 35,Sun,Away,W,1,0,Hellas Verona,1.8,0.5,58.0,19658.0,Ricardo Rodríguez,3-4-3,Marco Di Bello,Match Report,,15.0,7.0,13.4,0.0,0,0,2022,Torino
39,2023-05-21,15:00,Serie A,Matchweek 36,Sun,Home,D,1,1,Fiorentina,1.1,0.8,56.0,20403.0,Ricardo Rodríguez,3-4-3,Luca Massimi,Match Report,,10.0,4.0,14.5,0.0,0,0,2022,Torino
40,2023-05-27,15:00,Serie A,Matchweek 37,Sat,Away,W,4,0,Spezia,1.0,0.9,49.0,10776.0,Ricardo Rodríguez,3-4-3,Marco Guida,Match Report,,11.0,4.0,18.8,0.0,0,0,2022,Torino
41,2023-06-03,18:30,Serie A,Matchweek 38,Sat,Home,L,0,1,Inter,1.1,1.0,41.0,24528.0,Ricardo Rodríguez,3-4-3,Michael Fabbri,Match Report,,17.0,5.0,19.8,0.0,0,0,2022,Torino
1,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Home,L,1,2,Torino,1.4,2.1,54.0,10739.0,Andrea Barberis,3-5-2,Maurizio Mariani,Match Report,,15.0,4.0,24.4,1.0,0,0,2022,Monza
2,2022-08-21,18:30,Serie A,Matchweek 2,Sun,Away,L,0,4,Napoli,0.1,2.0,46.0,36559.0,Andrea Barberis,3-5-2,Francesco Fourneau,Match Report,,4.0,1.0,23.9,0.0,0,0,2022,Monza
3,2022-08-26,18:30,Serie A,Matchweek 3,Fri,Home,L,1,2,Udinese,1.5,1.7,56.0,9955.0,Carlos,3-5-2,Marco Di Bello,Match Report,,10.0,5.0,14.0,0.0,0,0,2022,Monza
4,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Away,L,0,3,Roma,0.9,1.8,60.0,60669.0,Matteo Pessina,3-5-2,Marco Piccinini,Match Report,,13.0,1.0,16.2,0.0,0,0,2022,Monza
5,2022-09-05,18:30,Serie A,Matchweek 5,Mon,Home,L,0,2,Atalanta,0.6,1.9,59.0,11970.0,Matteo Pessina,3-5-2,Juan Sacchi,Match Report,,10.0,3.0,19.7,0.0,0,0,2022,Monza
6,2022-09-11,15:00,Serie A,Matchweek 6,Sun,Away,D,1,1,Lecce,0.1,0.9,47.0,23391.0,Matteo Pessina,3-5-2,Luca Pairetto,Match Report,,2.0,1.0,19.5,1.0,0,0,2022,Monza
7,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Home,W,1,0,Juventus,2.5,0.9,60.0,12878.0,Matteo Pessina,3-4-3,Fabio Maresca,Match Report,,17.0,4.0,18.6,0.0,0,0,2022,Monza
8,2022-10-02,15:00,Serie A,Matchweek 8,Sun,Away,W,3,0,Sampdoria,1.4,0.1,50.0,19806.0,Matteo Pessina,3-4-3,Giovanni Ayroldi,Match Report,,13.0,6.0,19.2,0.0,0,0,2022,Monza
9,2022-10-09,15:00,Serie A,Matchweek 9,Sun,Home,W,2,0,Spezia,0.7,0.5,47.0,12094.0,Matteo Pessina,3-4-3,Daniele Perenzoni,Match Report,,7.0,4.0,20.4,0.0,0,0,2022,Monza
10,2022-10-15,15:00,Serie A,Matchweek 10,Sat,Away,L,0,1,Empoli,1.3,1.8,64.0,7258.0,Matteo Pessina,3-4-3,Antonio Rapuano,Match Report,,16.0,4.0,18.7,2.0,0,0,2022,Monza
12,2022-10-22,18:00,Serie A,Matchweek 11,Sat,Away,L,1,4,Milan,1.2,1.1,51.0,72938.0,Matteo Pessina,3-4-3,Livio Marinelli,Match Report,,16.0,6.0,19.5,2.0,0,0,2022,Monza
13,2022-10-31,20:45,Serie A,Matchweek 12,Mon,Home,L,1,2,Bologna,1.2,1.3,56.0,11388.0,Matteo Pessina,3-4-1-2,Luca Pairetto,Match Report,,8.0,2.0,24.2,0.0,1,1,2022,Monza
14,2022-11-06,15:00,Serie A,Matchweek 13,Sun,Home,W,2,0,Hellas Verona,1.3,0.4,74.0,11723.0,Matteo Pessina,3-4-3,Francesco Cosso,Match Report,,14.0,3.0,18.8,0.0,0,0,2022,Monza
15,2022-11-10,20:45,Serie A,Matchweek 14,Thu,Away,L,0,1,Lazio,0.5,1.5,53.0,36000.0,Matteo Pessina,3-4-3,Alberto Santoro,Match Report,,8.0,0.0,20.9,0.0,0,0,2022,Monza
16,2022-11-13,15:00,Serie A,Matchweek 15,Sun,Home,W,3,0,Salernitana,2.4,0.2,57.0,12372.0,Matteo Pessina,3-4-3,Antonio Giua,Match Report,,18.0,6.0,15.2,0.0,1,1,2022,Monza
17,2023-01-04,18:30,Serie A,Matchweek 16,Wed,Away,D,1,1,Fiorentina,1.7,1.6,48.0,31190.0,Matteo Pessina,3-4-3,Ermanno Feliciani,Match Report,,10.0,3.0,12.6,0.0,0,0,2022,Monza
18,2023-01-07,20:45,Serie A,Matchweek 17,Sat,Home,D,2,2,Inter,1.5,1.7,54.0,13622.0,Matteo Pessina,3-4-3,Juan Sacchi,Match Report,,13.0,4.0,14.8,1.0,0,0,2022,Monza
19,2023-01-14,15:00,Serie A,Matchweek 18,Sat,Away,W,3,2,Cremonese,2.2,0.7,50.0,11519.0,Matteo Pessina,3-4-3,Davide Massa,Match Report,,7.0,2.0,13.3,0.0,1,1,2022,Monza
21,2023-01-22,15:00,Serie A,Matchweek 19,Sun,Home,D,1,1,Sassuolo,1.5,1.5,61.0,10200.0,Matteo Pessina,3-4-3,Alessandro Prontera,Match Report,,14.0,3.0,16.1,0.0,0,0,2022,Monza
22,2023-01-29,15:00,Serie A,Matchweek 20,Sun,Away,W,2,0,Juventus,1.2,1.6,54.0,39393.0,Matteo Pessina,3-4-3,Gianluca Aureliano,Match Report,,3.0,3.0,9.0,0.0,0,0,2022,Monza
23,2023-02-06,20:45,Serie A,Matchweek 21,Mon,Home,D,2,2,Sampdoria,2.1,1.2,72.0,11950.0,Matteo Pessina,3-4-3,Daniele Chiffi,Match Report,,16.0,4.0,16.8,0.0,1,1,2022,Monza
24,2023-02-12,15:00,Serie A,Matchweek 22,Sun,Away,W,1,0,Bologna,0.6,0.9,37.0,21692.0,Matteo Pessina,3-4-3,Luca Zufferli,Match Report,,5.0,4.0,22.8,0.0,0,0,2022,Monza
25,2023-02-18,18:00,Serie A,Matchweek 23,Sat,Home,L,0,1,Milan,0.5,2.1,59.0,14012.0,Matteo Pessina,3-4-3,Antonio Rapuano,Match Report,,11.0,5.0,18.1,1.0,0,0,2022,Monza
26,2023-02-26,15:00,Serie A,Matchweek 24,Sun,Away,L,0,3,Salernitana,1.4,2.4,62.0,14947.0,Matteo Pessina,3-4-3,Livio Marinelli,Match Report,,15.0,4.0,19.1,2.0,0,0,2022,Monza
27,2023-03-04,15:00,Serie A,Matchweek 25,Sat,Home,W,2,1,Empoli,0.7,1.0,43.0,10601.0,Matteo Pessina,3-4-3,Ermanno Feliciani,Match Report,,10.0,3.0,17.0,0.0,0,0,2022,Monza
28,2023-03-12,15:00,Serie A,Matchweek 26,Sun,Away,D,1,1,Hellas Verona,1.1,0.6,61.0,18061.0,Matteo Pessina,3-4-3,Marco Piccinini,Match Report,,9.0,3.0,17.1,0.0,0,0,2022,Monza
29,2023-03-18,15:00,Serie A,Matchweek 27,Sat,Home,D,1,1,Cremonese,2.0,0.7,65.0,12797.0,Matteo Pessina,3-1-4-2,Antonio Giua,Match Report,,15.0,7.0,15.7,0.0,0,0,2022,Monza
30,2023-04-02,15:00,Serie A,Matchweek 28,Sun,Home,L,0,2,Lazio,1.3,0.5,56.0,14539.0,Pablo Marí,3-4-3,Matteo Marcenaro,Match Report,,11.0,3.0,18.0,0.0,0,0,2022,Monza
31,2023-04-08,12:30,Serie A,Matchweek 29,Sat,Away,D,2,2,Udinese,1.1,1.8,59.0,22658.0,Matteo Pessina,3-4-3,Luca Massimi,Match Report,,12.0,5.0,18.7,1.0,0,0,2022,Monza
32,2023-04-15,20:45,Serie A,Matchweek 30,Sat,Away,W,1,0,Inter,0.7,2.1,44.0,74135.0,Matteo Pessina,3-4-3,Luca Pairetto,Match Report,,7.0,2.0,18.2,1.0,0,0,2022,Monza
33,2023-04-23,15:00,Serie A,Matchweek 31,Sun,Home,W,3,2,Fiorentina,1.5,1.3,45.0,13118.0,Matteo Pessina,3-4-3,Juan Sacchi,Match Report,,12.0,4.0,19.2,0.0,1,1,2022,Monza
34,2023-04-28,20:45,Serie A,Matchweek 32,Fri,Away,W,2,0,Spezia,0.9,1.7,54.0,9200.0,Matteo Pessina,3-4-3,Antonio Rapuano,Match Report,,8.0,4.0,18.2,0.0,0,0,2022,Monza
35,2023-05-03,21:00,Serie A,Matchweek 33,Wed,Home,D,1,1,Roma,0.9,1.0,58.0,12388.0,Matteo Pessina,3-4-3,Daniele Chiffi,Match Report,,8.0,4.0,13.9,0.0,0,0,2022,Monza
36,2023-05-07,15:00,Serie A,Matchweek 34,Sun,Away,D,1,1,Torino,0.9,0.9,47.0,19517.0,Matteo Pessina,3-4-3,Luca Zufferli,Match Report,,10.0,8.0,19.5,0.0,0,0,2022,Monza
37,2023-05-14,15:00,Serie A,Matchweek 35,Sun,Home,W,2,0,Napoli,1.3,1.1,45.0,14455.0,Matteo Pessina,3-4-1-2,Francesco Cosso,Match Report,,10.0,4.0,13.9,0.0,0,0,2022,Monza
38,2023-05-19,20:45,Serie A,Matchweek 36,Fri,Away,W,2,1,Sassuolo,1.6,1.6,56.0,11745.0,Matteo Pessina,3-4-3,Alberto Santoro,Match Report,,17.0,6.0,16.1,0.0,0,0,2022,Monza
39,2023-05-28,15:00,Serie A,Matchweek 37,Sun,Home,L,0,1,Lecce,1.1,1.2,73.0,15039.0,Matteo Pessina,3-4-1-2,Daniele Doveri,Match Report,,4.0,0.0,23.4,1.0,0,1,2022,Monza
40,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Away,L,2,5,Atalanta,1.2,4.0,61.0,19389.0,Matteo Pessina,3-4-3,Marco Di Bello,Match Report,,8.0,4.0,19.9,0.0,0,0,2022,Monza
1,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Away,L,2,4,Milan,0.5,2.3,41.0,70197.0,Roberto Pereyra,3-5-2,Livio Marinelli,Match Report,,9.0,4.0,18.3,0.0,0,0,2022,Udinese
2,2022-08-20,18:30,Serie A,Matchweek 2,Sat,Home,D,0,0,Salernitana,1.1,1.5,48.0,17054.0,Roberto Pereyra,3-5-2,Gianluca Aureliano,Match Report,,15.0,2.0,16.3,1.0,0,0,2022,Udinese
